CookerStat, GenerateAssetRegistry=0.021134, Initialize=0.111423, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_0, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/BluePrint/BPExplosionOne.uasset, AutoPackageBackupDelegate=4.851129, FlushAsyncLoading=0.008326, FlushStreamingFunc=0.090934, BlockTillAllRequestsFinished=0.005763, ResetLoadersForSaveUnMarkAllObjects=0.120707, TagPackageExports=1.439873, BeginCacheForCookedPlatformData=0.002883, SerializeImports=2.034776, GatherLocalizableTextData=1.663364, MarkNames=0.027858, SerializeSummary=0.016008, SerializeNames=0.105660, SerializeGatherableTextData=0.108223, BuildExportMap=0.084531, SortExportsNonSeekfree=0.146642, SortExportsSeekfreeConstructor=0.063717, SortExportsSeekfreeInner=4.323464, SortExportsSeekfree=0.013128, BuildDependencyMap=0.026897, SerializeImportMap=0.018891, SerializeExportMap=0.022735, SerializeDependencyMap=0.003841, SerializeStringAssetReferenceMap=0.001602, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.297133, SerializeExports=2.006281, SerializeBulkData=0.012167, MoveFile=1.930397, UnaccountedTime=1.209341, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_1, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/BluePrint/BPExplosionOne.uasset, AutoPackageBackupDelegate=3.504433, FlushAsyncLoading=0.003520, FlushStreamingFunc=0.051230, BlockTillAllRequestsFinished=0.003841, ResetLoadersForSaveUnMarkAllObjects=0.094134, TagPackageExports=1.363993, BeginCacheForCookedPlatformData=0.001919, SerializeImports=1.927197, GatherLocalizableTextData=1.607653, MarkNames=0.024013, SerializeSummary=0.020809, SerializeNames=0.095095, SerializeGatherableTextData=0.113346, BuildExportMap=0.073966, SortExportsNonSeekfree=0.216123, SortExportsSeekfreeConstructor=0.052832, SortExportsSeekfreeInner=4.109900, SortExportsSeekfree=0.003520, BuildDependencyMap=0.022735, SerializeImportMap=0.008006, SerializeExportMap=0.012167, SerializeDependencyMap=0.003520, SerializeStringAssetReferenceMap=0.001602, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.334915, SerializeExports=1.953129, SerializeBulkData=0.004165, MoveFile=1.597404, UnaccountedTime=1.128651, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_2, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/BluePrint/BPExplosionOne.uasset, AutoPackageBackupDelegate=3.491621, FlushAsyncLoading=0.002880, FlushStreamingFunc=0.064038, BlockTillAllRequestsFinished=0.004802, ResetLoadersForSaveUnMarkAllObjects=0.097338, TagPackageExports=1.441475, BeginCacheForCookedPlatformData=0.001602, SerializeImports=1.972020, GatherLocalizableTextData=1.669448, MarkNames=0.022411, SerializeSummary=0.009928, SerializeNames=0.095416, SerializeGatherableTextData=0.106942, BuildExportMap=0.093814, SortExportsNonSeekfree=0.222526, SortExportsSeekfreeConstructor=0.121351, SortExportsSeekfreeInner=4.056752, SortExportsSeekfree=0.014085, BuildDependencyMap=0.032339, SerializeImportMap=0.007365, SerializeExportMap=0.011526, SerializeDependencyMap=0.003520, SerializeStringAssetReferenceMap=0.001602, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.293288, SerializeExports=2.061035, SerializeBulkData=0.004482, MoveFile=1.948651, UnaccountedTime=1.187887, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_3, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/BluePrint/BPExplosionOne.uasset, AutoPackageBackupDelegate=4.556239, FlushAsyncLoading=0.005763, FlushStreamingFunc=0.135116, BlockTillAllRequestsFinished=0.005126, ResetLoadersForSaveUnMarkAllObjects=0.116225, TagPackageExports=1.541372, BeginCacheForCookedPlatformData=0.002883, SerializeImports=2.247702, GatherLocalizableTextData=1.812570, MarkNames=0.024654, SerializeSummary=0.011206, SerializeNames=0.143442, SerializeGatherableTextData=0.126794, BuildExportMap=0.081327, SortExportsNonSeekfree=0.153050, SortExportsSeekfreeConstructor=0.072040, SortExportsSeekfreeInner=4.226770, SortExportsSeekfree=0.004802, BuildDependencyMap=0.023693, SerializeImportMap=0.008006, SerializeExportMap=0.012487, SerializeDependencyMap=0.003520, SerializeStringAssetReferenceMap=0.001602, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.326589, SerializeExports=2.154209, SerializeBulkData=0.004161, MoveFile=1.559302, UnaccountedTime=1.097914, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_4, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/ThirdPersonBP/Blueprints/ThirdPersonCharacter.uasset, AutoPackageBackupDelegate=4.696157, FlushAsyncLoading=0.007685, FlushStreamingFunc=0.045467, BlockTillAllRequestsFinished=0.004802, ResetLoadersForSaveUnMarkAllObjects=0.113025, TagPackageExports=9.397764, BeginCacheForCookedPlatformData=0.005122, SerializeImports=10.376573, GatherLocalizableTextData=8.938297, MarkNames=0.077482, SerializeSummary=0.015691, SerializeNames=0.301614, SerializeGatherableTextData=0.090614, BuildExportMap=0.225089, SortExportsNonSeekfree=2.002761, SortExportsSeekfreeConstructor=0.056032, SortExportsSeekfreeInner=15.660271, SortExportsSeekfree=0.006083, BuildDependencyMap=0.107579, SerializeImportMap=0.018250, SerializeExportMap=0.070762, SerializeDependencyMap=0.013769, SerializeStringAssetReferenceMap=0.002243, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.278331, SerializeExports=11.645145, SerializeBulkData=0.008967, MoveFile=1.829218, UnaccountedTime=1.227591, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_5, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/BluePrint/BPExplosionOne.uasset, AutoPackageBackupDelegate=3.475934, FlushAsyncLoading=0.002880, FlushStreamingFunc=0.056673, BlockTillAllRequestsFinished=0.005446, ResetLoadersForSaveUnMarkAllObjects=0.147924, TagPackageExports=1.369756, BeginCacheForCookedPlatformData=0.001922, SerializeImports=2.005000, GatherLocalizableTextData=1.699224, MarkNames=0.033941, SerializeSummary=0.014085, SerializeNames=0.098299, SerializeGatherableTextData=0.120711, BuildExportMap=0.084527, SortExportsNonSeekfree=0.157852, SortExportsSeekfreeConstructor=0.065319, SortExportsSeekfreeInner=4.330829, SortExportsSeekfree=0.004802, BuildDependencyMap=0.023372, SerializeImportMap=0.007365, SerializeExportMap=0.011846, SerializeDependencyMap=0.003524, SerializeStringAssetReferenceMap=0.001919, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.284966, SerializeExports=2.015568, SerializeBulkData=0.004161, MoveFile=1.563467, UnaccountedTime=1.097273, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_6, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Saved/Autosaves/Game/ThirdPersonBP/Blueprints/ThirdPersonCharacter_Auto1.uasset, AutoPackageBackupDelegate=6.599024, FlushAsyncLoading=0.008002, FlushStreamingFunc=0.044826, BlockTillAllRequestsFinished=0.005443, ResetLoadersForSaveUnMarkAllObjects=0.120711, TagPackageExports=8.958146, BeginCacheForCookedPlatformData=0.005446, SerializeImports=9.568740, GatherLocalizableTextData=9.313554, MarkNames=0.083890, SerializeSummary=0.015050, SerializeNames=0.312820, SerializeGatherableTextData=0.095736, BuildExportMap=0.227332, SortExportsNonSeekfree=2.012685, SortExportsSeekfreeConstructor=0.059236, SortExportsSeekfreeInner=15.695490, SortExportsSeekfree=0.008322, BuildDependencyMap=0.121031, SerializeImportMap=0.017934, SerializeExportMap=0.064675, SerializeDependencyMap=0.013448, SerializeStringAssetReferenceMap=0.001922, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.400323, SerializeExports=12.412630, SerializeBulkData=0.009604, MoveFile=1.134418, UnaccountedTime=0.232775, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_7, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/ThirdPersonBP/Blueprints/ThirdPersonCharacter.uasset, AutoPackageBackupDelegate=4.146721, FlushAsyncLoading=0.005443, FlushStreamingFunc=0.028495, BlockTillAllRequestsFinished=0.004485, ResetLoadersForSaveUnMarkAllObjects=0.102777, TagPackageExports=8.648850, BeginCacheForCookedPlatformData=0.004161, SerializeImports=9.539925, GatherLocalizableTextData=10.111459, MarkNames=0.105660, SerializeSummary=0.028174, SerializeNames=0.325952, SerializeGatherableTextData=0.104059, BuildExportMap=0.234697, SortExportsNonSeekfree=2.082165, SortExportsSeekfreeConstructor=0.058275, SortExportsSeekfreeInner=15.982695, SortExportsSeekfree=0.005443, BuildDependencyMap=0.098299, SerializeImportMap=0.017930, SerializeExportMap=0.061154, SerializeDependencyMap=0.023372, SerializeStringAssetReferenceMap=0.001922, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.612929, SerializeExports=12.319774, SerializeBulkData=0.009928, MoveFile=2.361689, UnaccountedTime=1.267612, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_8, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/BluePrint/BPExplosionOne.uasset, AutoPackageBackupDelegate=5.619575, FlushAsyncLoading=0.016008, FlushStreamingFunc=0.136722, BlockTillAllRequestsFinished=0.004161, ResetLoadersForSaveUnMarkAllObjects=0.107262, TagPackageExports=1.547456, BeginCacheForCookedPlatformData=0.001922, SerializeImports=2.481114, GatherLocalizableTextData=1.763903, MarkNames=0.025615, SerializeSummary=0.012167, SerializeNames=0.099577, SerializeGatherableTextData=0.102781, BuildExportMap=0.078127, SortExportsNonSeekfree=0.165854, SortExportsSeekfreeConstructor=0.052512, SortExportsSeekfreeInner=4.219722, SortExportsSeekfree=0.004165, BuildDependencyMap=0.025295, SerializeImportMap=0.009287, SerializeExportMap=0.012167, SerializeDependencyMap=0.003844, SerializeStringAssetReferenceMap=0.001598, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.302576, SerializeExports=2.198394, SerializeBulkData=0.004161, MoveFile=1.998596, UnaccountedTime=1.189169, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_9, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/BluePrint/Ball.uasset, AutoPackageBackupDelegate=6.244257, FlushAsyncLoading=0.005763, FlushStreamingFunc=0.041623, BlockTillAllRequestsFinished=0.006404, ResetLoadersForSaveUnMarkAllObjects=0.120711, TagPackageExports=0.771005, BeginCacheForCookedPlatformData=0.002243, SerializeImports=1.359187, GatherLocalizableTextData=1.208380, MarkNames=0.016008, SerializeSummary=0.010889, SerializeNames=0.081647, SerializeGatherableTextData=0.006404, BuildExportMap=0.064034, SortExportsNonSeekfree=0.058275, SortExportsSeekfreeConstructor=0.049949, SortExportsSeekfreeInner=3.943086, SortExportsSeekfree=0.007045, BuildDependencyMap=0.024334, SerializeImportMap=0.007361, SerializeExportMap=0.011209, SerializeDependencyMap=0.002243, SerializeStringAssetReferenceMap=0.001602, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.588013, SerializeExports=1.407534, SerializeBulkData=0.004806, MoveFile=1.943845, UnaccountedTime=1.235276, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_10, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/ThirdPersonBP/Maps/ThirdPersonBP/Maps/Level.umap, AutoPackageBackupDelegate=13.925508, FlushAsyncLoading=0.010245, FlushStreamingFunc=0.067558, BlockTillAllRequestsFinished=0.004165, ResetLoadersForSaveUnMarkAllObjects=56.766636, TagPackageExports=3.978305, BeginCacheForCookedPlatformData=0.002883, SerializeImports=4.882507, GatherLocalizableTextData=9.164028, MarkNames=0.062436, SerializeSummary=0.014409, SerializeNames=0.508454, SerializeGatherableTextData=0.031378, BuildExportMap=0.303216, SortExportsNonSeekfree=0.860017, SortExportsSeekfreeConstructor=0.048030, SortExportsSeekfreeInner=12.232683, SortExportsSeekfree=0.004161, BuildDependencyMap=0.104703, SerializeImportMap=0.062440, SerializeExportMap=0.043545, SerializeDependencyMap=0.023693, SerializeStringAssetReferenceMap=0.002243, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.201335, SerializeExports=7.443350, SerializeBulkData=2.800021, MoveFile=2.148122, UnaccountedTime=1.199737, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_11, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/ThirdPersonBP/Blueprints/ThirdPersonCharacter.uasset, AutoPackageBackupDelegate=5.794719, FlushAsyncLoading=0.006404, FlushStreamingFunc=0.044826, BlockTillAllRequestsFinished=0.004802, ResetLoadersForSaveUnMarkAllObjects=0.121668, TagPackageExports=9.030190, BeginCacheForCookedPlatformData=0.003844, SerializeImports=10.196306, GatherLocalizableTextData=9.613887, MarkNames=0.085488, SerializeSummary=0.015050, SerializeNames=0.329472, SerializeGatherableTextData=0.095736, BuildExportMap=0.222847, SortExportsNonSeekfree=2.199356, SortExportsSeekfreeConstructor=0.060834, SortExportsSeekfreeInner=17.026503, SortExportsSeekfree=0.007045, BuildDependencyMap=0.121027, SerializeImportMap=0.019211, SerializeExportMap=0.065960, SerializeDependencyMap=0.010885, SerializeStringAssetReferenceMap=0.001922, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.700339, SerializeExports=13.618767, SerializeBulkData=0.010245, MoveFile=1.863480, UnaccountedTime=1.200695, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_12, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/ThirdPersonBP/Blueprints/ThirdPersonCharacter.uasset, AutoPackageBackupDelegate=6.327826, FlushAsyncLoading=0.006083, FlushStreamingFunc=0.026576, BlockTillAllRequestsFinished=0.004161, ResetLoadersForSaveUnMarkAllObjects=0.103422, TagPackageExports=9.373430, BeginCacheForCookedPlatformData=0.003524, SerializeImports=10.607101, GatherLocalizableTextData=9.705141, MarkNames=0.111427, SerializeSummary=0.015687, SerializeNames=0.318583, SerializeGatherableTextData=0.099581, BuildExportMap=0.224449, SortExportsNonSeekfree=2.062634, SortExportsSeekfreeConstructor=0.056352, SortExportsSeekfreeInner=17.517988, SortExportsSeekfree=0.007045, BuildDependencyMap=0.122309, SerializeImportMap=0.018250, SerializeExportMap=0.064038, SerializeDependencyMap=0.010565, SerializeStringAssetReferenceMap=0.001602, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.455077, SerializeExports=12.999207, SerializeBulkData=0.009928, MoveFile=1.408815, UnaccountedTime=1.355667, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_13, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Saved/Autosaves/Game/ThirdPersonBP/Blueprints/ThirdPersonCharacter_Auto2.uasset, AutoPackageBackupDelegate=4.487720, FlushAsyncLoading=0.005122, FlushStreamingFunc=0.044186, BlockTillAllRequestsFinished=0.006404, ResetLoadersForSaveUnMarkAllObjects=0.132237, TagPackageExports=10.701239, BeginCacheForCookedPlatformData=0.006083, SerializeImports=11.646427, GatherLocalizableTextData=12.871135, MarkNames=0.087731, SerializeSummary=0.016328, SerializeNames=0.345480, SerializeGatherableTextData=0.134800, BuildExportMap=0.255827, SortExportsNonSeekfree=2.212163, SortExportsSeekfreeConstructor=0.068199, SortExportsSeekfreeInner=18.235203, SortExportsSeekfree=0.005763, BuildDependencyMap=0.119749, SerializeImportMap=0.018891, SerializeExportMap=0.064999, SerializeDependencyMap=0.023697, SerializeStringAssetReferenceMap=0.002239, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.524817, SerializeExports=15.447989, SerializeBulkData=0.010565, MoveFile=1.128331, UnaccountedTime=0.251025, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_14, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/ThirdPersonBP/Blueprints/ThirdPersonCharacter.uasset, AutoPackageBackupDelegate=4.180662, FlushAsyncLoading=0.003520, FlushStreamingFunc=0.047069, BlockTillAllRequestsFinished=0.004482, ResetLoadersForSaveUnMarkAllObjects=0.093494, TagPackageExports=9.989787, BeginCacheForCookedPlatformData=0.005122, SerializeImports=11.058565, GatherLocalizableTextData=11.501699, MarkNames=0.097979, SerializeSummary=0.014730, SerializeNames=0.392545, SerializeGatherableTextData=0.122312, BuildExportMap=0.267353, SortExportsNonSeekfree=2.126671, SortExportsSeekfreeConstructor=0.065319, SortExportsSeekfreeInner=19.427572, SortExportsSeekfree=0.007685, BuildDependencyMap=0.127114, SerializeImportMap=0.020172, SerializeExportMap=0.068519, SerializeDependencyMap=0.014409, SerializeStringAssetReferenceMap=0.001602, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.677283, SerializeExports=14.960985, SerializeBulkData=0.009608, MoveFile=1.811288, UnaccountedTime=1.359828, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_15, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/ThirdPersonBP/Blueprints/ThirdPersonCharacter.uasset, AutoPackageBackupDelegate=6.083205, FlushAsyncLoading=0.008643, FlushStreamingFunc=0.098940, BlockTillAllRequestsFinished=0.005122, ResetLoadersForSaveUnMarkAllObjects=0.124872, TagPackageExports=9.783588, BeginCacheForCookedPlatformData=0.005443, SerializeImports=10.815863, GatherLocalizableTextData=10.942981, MarkNames=0.077162, SerializeSummary=0.012487, SerializeNames=0.356048, SerializeGatherableTextData=0.100218, BuildExportMap=0.241101, SortExportsNonSeekfree=2.287403, SortExportsSeekfreeConstructor=0.011526, SortExportsSeekfreeInner=18.048536, SortExportsSeekfree=0.008643, BuildDependencyMap=0.137363, SerializeImportMap=0.028178, SerializeExportMap=0.065960, SerializeDependencyMap=0.017289, SerializeStringAssetReferenceMap=0.001602, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.718756, SerializeExports=13.345011, SerializeBulkData=0.008643, MoveFile=1.641270, UnaccountedTime=0.258069, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
SavePackageTransactionId83B95452435128E585C05BBAD0CE29FB_16, Filename=../../../../../../Users/Morten/Documents/RealRocketLeagues/RealRLeague/Content/ThirdPersonBP/Maps/ThirdPersonExampleMap.umap, AutoPackageBackupDelegate=13.706819, FlushAsyncLoading=0.010565, FlushStreamingFunc=0.059877, BlockTillAllRequestsFinished=0.005122, ResetLoadersForSaveUnMarkAllObjects=63.787025, TagPackageExports=3.692377, BeginCacheForCookedPlatformData=0.005763, SerializeImports=5.764298, GatherLocalizableTextData=12.846802, MarkNames=0.111748, SerializeSummary=0.015687, SerializeNames=0.570890, SerializeGatherableTextData=0.079088, BuildExportMap=0.508133, SortExportsNonSeekfree=0.978809, SortExportsSeekfreeConstructor=0.061154, SortExportsSeekfreeInner=13.528153, SortExportsSeekfree=0.008967, BuildDependencyMap=0.144724, SerializeImportMap=0.060197, SerializeExportMap=0.046108, SerializeDependencyMap=0.013128, SerializeStringAssetReferenceMap=0.002880, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.585238, SerializeExports=7.526282, SerializeBulkData=170.597366, MoveFile=2.573650, UnaccountedTime=0.274077, RunGuid=RunID1DD58E5E45F40409BD595B85D27C3646
